Year,Patch,Champion,Region,Species,Class,Role,Tier,Score,Win_Rate,Pick_Rate,Ban_Rate,Avg_KDA
2022,13.01,Aatrox,Runeterra,Darkin,Fighter,TOP,S,57.63,47.68%,6.62%,11.98%,1.77
2022,13.01,Ahri,Ionia,Vesani,Mage,MID,S,57.18,49.50%,5.81%,1.73%,2.58
2022,13.01,Akali,Ionia,Human,Assassin,MID,S,65.49,48.41%,8.11%,13.02%,2.37
2022,13.01,Akali,Ionia,Human,Assassin,TOP,C,39.63,45.92%,2.55%,13.02%,2
2022,13.01,Akshan,Shurima,Human,Marksman,MID,A,49.39,51.62%,2.75%,3.79%,2.26
2022,13.01,Akshan,Shurima,Human,Marksman,TOP,B,44.58,51.69%,1.01%,3.79%,2
2022,13.01,Alistar,Runeterra,Minotaur,Tank,SUPPORT,B,43.21,50.09%,2.67%,0.60%,2.46
2022,13.01,Amumu,Shurima,Yordle,Tank,JUNGLE,S,57.41,52.87%,4.44%,5.20%,2.82
2022,13.01,Amumu,Shurima,Yordle,Tank,SUPPORT,A,52.62,52.39%,4.09%,5.20%,2.18
2022,13.01,Anivia,Freljord,Spirit_God,Mage,MID,S,59.33,53.22%,3.60%,3.56%,3.03
2022,13.01,Annie,Noxus,Magic_Human,Mage,MID,C,39.56,49.13%,1.29%,0.37%,2.3
2022,13.01,Annie,Noxus,Magic_Human,Mage,SUPPORT,D,26.80,47.00%,0.21%,0.37%,2.27
2022,13.01,Aphelios,Ionia,Magic_Human,Marksman,ADC,D,24.82,46.60%,3.48%,0.51%,1.95
2022,13.01,Ashe,Freljord,Human,Marksman,SUPPORT,S,67.31,50.02%,8.75%,6.03%,2.44
2022,13.01,Ashe,Freljord,Human,Marksman,ADC,B,46.20,50.27%,6.49%,6.03%,2.43
2022,13.01,Aurelion_Sol,Before_Runeterra,Celestial_Dragon,Mage,MID,C,41.32,50.42%,0.71%,0.27%,2.54
2022,13.01,Azir,Shurima,God_Warrior,Mage,MID,C,36.92,46.31%,2.40%,0.51%,2.12
2022,13.01,Bard,Celestial_Realm,Celestial,Support,SUPPORT,A,48.90,50.30%,3.25%,0.48%,3.1
2022,13.01,Bel_Veth,Void,Voidborn,Fighter,JUNGLE,A,49.90,50.94%,3.89%,8.20%,2.39
2022,13.01,Blitzcrank,Zaun,Techmaturgical_Golem,Tank,SUPPORT,God,70.30,51.75%,7.49%,18.25%,2.46
2022,13.01,Brand,Freljord,Magic_Human,Mage,SUPPORT,B,44.57,50.72%,3.32%,4.03%,1.85
2022,13.01,Brand,Freljord,Magic_Human,Mage,MID,C,39.54,50.69%,0.74%,4.41%,2.04
2022,13.01,Braum,Freljord,Ice_Human,Support,SUPPORT,C,38.30,48.89%,1.71%,0.27%,2.68
2022,13.01,Caitlyn,Piltover,Human,Marksman,ADC,God,93.30,50.37%,20.28%,18.56%,2.3
2022,13.01,Camille,Piltover,Cyborg,Fighter,TOP,S,58.81,50.33%,5.90%,2.54%,1.97
2022,13.01,Cassiopeia,Shurima,Magic_Human,Mage,MID,A,48.79,51.64%,2.64%,1.68%,2.25
2022,13.01,Cho_Gath,Runeterra,Voidborn,Tank,MID,B,45.34,53.13%,0.45%,0.76%,2.47
2022,13.01,Cho_Gath,Runeterra,Voidborn,Tank,TOP,B,44.76,50.27%,1.81%,0.76%,2.06
2022,13.01,Corki,Bandle_City,Yordle,Marksman,MID,C,36.75,48.61%,0.87%,0.16%,2.23
2022,13.01,Darius,Noxus,Human,Fighter,TOP,God,77.98,49.88%,9.34%,22.42%,1.87
2022,13.01,Diana,Targon,Aspect,Fighter,JUNGLE,S,59.94,50.55%,6.61%,4.60%,2.55
2022,13.01,Diana,Targon,Aspect,Fighter,MID,B,44.17,49.84%,2.45%,4.60%,2.09
2022,13.01,Dr_ Mundo,Zaun,Human,Marksman,TOP,A,51.81,49.64%,4.07%,10.03%,1.86
2022,13.01,Draven,Noxus,Human,Fighter,ADC,A,51.04,49.66%,7.55%,22.14%,2.12
2022,13.01,Ekko,Zaun,Human,Assassin,JUNGLE,S,65.07,50.98%,7.27%,6.21%,2.81
2022,13.01,Ekko,Zaun,Human,Assassin,MID,B,46.68,50.18%,2.63%,6.21%,2.31
2022,13.01,Elise,Noxus,Magic_Human,Mage,JUNGLE,God,69.88,52.37%,6.93%,11.73%,2.9
2022,13.01,Evelynn,Runeterra,Demon,Assassin,JUNGLE,A,54.36,50.54%,4.44%,7.79%,3.01
2022,13.01,Ezreal,Demacia,Human,Marksman,ADC,God,74.09,48.39%,18.55%,3.53%,2.4
